dataset,dataset_stage,dataset_pass,training_stage,checkpoint,metric_name,metric_value,weight_path,net
KITTI,train,,C,matchflow-g-chairs.pth,EPE,16.136669158935547,models/_pretrained_weights/matchflow_weights/matchflow-g/matchflow-g-chairs.pth,MatchFlow (G)
KITTI,train,,C,matchflow-g-chairs.pth,IR_{1px},0.3657018989388718,models/_pretrained_weights/matchflow_weights/matchflow-g/matchflow-g-chairs.pth,MatchFlow (G)
KITTI,train,,C,matchflow-g-chairs.pth,IR_{3px},0.5709108026060941,models/_pretrained_weights/matchflow_weights/matchflow-g/matchflow-g-chairs.pth,MatchFlow (G)
KITTI,train,,C,matchflow-g-chairs.pth,IR_{5px},0.6412182377491833,models/_pretrained_weights/matchflow_weights/matchflow-g/matchflow-g-chairs.pth,MatchFlow (G)
KITTI,train,,C,matchflow-g-chairs.pth,fl-kitti,0.4264182996929173,models/_pretrained_weights/matchflow_weights/matchflow-g/matchflow-g-chairs.pth,MatchFlow (G)
KITTI,train,,C,matchflow-g-chairs.pth,MSE,670.22900390625,models/_pretrained_weights/matchflow_weights/matchflow-g/matchflow-g-chairs.pth,MatchFlow (G)
KITTI,train,,C,matchflow-g-chairs.pth,WAUC,0.4109299583047832,models/_pretrained_weights/matchflow_weights/matchflow-g/matchflow-g-chairs.pth,MatchFlow (G)
KITTI,train,,C+T,matchflow-g-things.pth,EPE,4.723527908325195,models/_pretrained_weights/matchflow_weights/matchflow-g/matchflow-g-things.pth,MatchFlow (G)
KITTI,train,,C+T,matchflow-g-things.pth,IR_{1px},0.6514616168354631,models/_pretrained_weights/matchflow_weights/matchflow-g/matchflow-g-things.pth,MatchFlow (G)
KITTI,train,,C+T,matchflow-g-things.pth,IR_{3px},0.8164658584826029,models/_pretrained_weights/matchflow_weights/matchflow-g/matchflow-g-things.pth,MatchFlow (G)
KITTI,train,,C+T,matchflow-g-things.pth,IR_{5px},0.8605390361183458,models/_pretrained_weights/matchflow_weights/matchflow-g/matchflow-g-things.pth,MatchFlow (G)
KITTI,train,,C+T,matchflow-g-things.pth,fl-kitti,0.1668066912295949,models/_pretrained_weights/matchflow_weights/matchflow-g/matchflow-g-things.pth,MatchFlow (G)
KITTI,train,,C+T,matchflow-g-things.pth,MSE,139.86277770996094,models/_pretrained_weights/matchflow_weights/matchflow-g/matchflow-g-things.pth,MatchFlow (G)
KITTI,train,,C+T,matchflow-g-things.pth,WAUC,0.6510220398804133,models/_pretrained_weights/matchflow_weights/matchflow-g/matchflow-g-things.pth,MatchFlow (G)
KITTI,train,,K,CCMR+_kitti.pth,EPE,0.744852602481842,models/_pretrained_weights/ccmr_weights/CCMR+_kitti.pth,CCMR+
KITTI,train,,K,CCMR+_kitti.pth,IR_{1px},0.8689044364819108,models/_pretrained_weights/ccmr_weights/CCMR+_kitti.pth,CCMR+
KITTI,train,,K,CCMR+_kitti.pth,IR_{3px},0.9586926962614916,models/_pretrained_weights/ccmr_weights/CCMR+_kitti.pth,CCMR+
KITTI,train,,K,CCMR+_kitti.pth,IR_{5px},0.9777633612169816,models/_pretrained_weights/ccmr_weights/CCMR+_kitti.pth,CCMR+
KITTI,train,,K,CCMR+_kitti.pth,fl-kitti,0.0194677935847313,models/_pretrained_weights/ccmr_weights/CCMR+_kitti.pth,CCMR+
KITTI,train,,K,CCMR+_kitti.pth,MSE,8.704629898071289,models/_pretrained_weights/ccmr_weights/CCMR+_kitti.pth,CCMR+
KITTI,train,,K,CCMR+_kitti.pth,WAUC,0.8427028672213234,models/_pretrained_weights/ccmr_weights/CCMR+_kitti.pth,CCMR+
KITTI,train,,C+T,CCMR+_things.pth,EPE,4.210625171661377,models/_pretrained_weights/ccmr_weights/CCMR+_things.pth,CCMR+
KITTI,train,,C+T,CCMR+_things.pth,IR_{1px},0.7328345368198603,models/_pretrained_weights/ccmr_weights/CCMR+_things.pth,CCMR+
KITTI,train,,C+T,CCMR+_things.pth,IR_{3px},0.8552246722415506,models/_pretrained_weights/ccmr_weights/CCMR+_things.pth,CCMR+
KITTI,train,,C+T,CCMR+_things.pth,IR_{5px},0.8884533870763045,models/_pretrained_weights/ccmr_weights/CCMR+_things.pth,CCMR+
KITTI,train,,C+T,CCMR+_things.pth,fl-kitti,0.1260080863272664,models/_pretrained_weights/ccmr_weights/CCMR+_things.pth,CCMR+
KITTI,train,,C+T,CCMR+_things.pth,MSE,170.1457061767578,models/_pretrained_weights/ccmr_weights/CCMR+_things.pth,CCMR+
KITTI,train,,C+T,CCMR+_things.pth,WAUC,0.7190143283246593,models/_pretrained_weights/ccmr_weights/CCMR+_things.pth,CCMR+
KITTI,train,,S,CCMR+_sintel.pth,EPE,1.0340161323547363,models/_pretrained_weights/ccmr_weights/CCMR+_sintel.pth,CCMR+
KITTI,train,,S,CCMR+_sintel.pth,IR_{1px},0.8330621234330172,models/_pretrained_weights/ccmr_weights/CCMR+_sintel.pth,CCMR+
KITTI,train,,S,CCMR+_sintel.pth,IR_{3px},0.9442793793265812,models/_pretrained_weights/ccmr_weights/CCMR+_sintel.pth,CCMR+
KITTI,train,,S,CCMR+_sintel.pth,IR_{5px},0.9670090386310928,models/_pretrained_weights/ccmr_weights/CCMR+_sintel.pth,CCMR+
KITTI,train,,S,CCMR+_sintel.pth,fl-kitti,0.0320922550224982,models/_pretrained_weights/ccmr_weights/CCMR+_sintel.pth,CCMR+
KITTI,train,,S,CCMR+_sintel.pth,MSE,13.412090301513672,models/_pretrained_weights/ccmr_weights/CCMR+_sintel.pth,CCMR+
KITTI,train,,S,CCMR+_sintel.pth,WAUC,0.8112930886651045,models/_pretrained_weights/ccmr_weights/CCMR+_sintel.pth,CCMR+
KITTI,train,,C+T,FlowNet2_checkpoint.pth.tar,EPE,10.641767501831056,models/_pretrained_weights/FlowNet/FlowNet2_checkpoint.pth.tar,FlowNet2
KITTI,train,,C+T,FlowNet2_checkpoint.pth.tar,IR_{1px},0.5242849452680168,models/_pretrained_weights/FlowNet/FlowNet2_checkpoint.pth.tar,FlowNet2
KITTI,train,,C+T,FlowNet2_checkpoint.pth.tar,IR_{3px},0.6881051094503009,models/_pretrained_weights/FlowNet/FlowNet2_checkpoint.pth.tar,FlowNet2
KITTI,train,,C+T,FlowNet2_checkpoint.pth.tar,IR_{5px},0.7372286972600719,models/_pretrained_weights/FlowNet/FlowNet2_checkpoint.pth.tar,FlowNet2
KITTI,train,,C+T,FlowNet2_checkpoint.pth.tar,fl-kitti,0.3055558128991331,models/_pretrained_weights/FlowNet/FlowNet2_checkpoint.pth.tar,FlowNet2
KITTI,train,,C+T,FlowNet2_checkpoint.pth.tar,MSE,396.5199279785156,models/_pretrained_weights/FlowNet/FlowNet2_checkpoint.pth.tar,FlowNet2
KITTI,train,,C+T,FlowNet2_checkpoint.pth.tar,WAUC,0.5356011272342619,models/_pretrained_weights/FlowNet/FlowNet2_checkpoint.pth.tar,FlowNet2
KITTI,train,,C+T,gmflow-scale2-things-36579974.pth,EPE,6.933721542358398,models/_pretrained_weights/unimatch_weights/gmflow-scale2-things-36579974.pth,GMFlow+ (s2)
KITTI,train,,C+T,gmflow-scale2-things-36579974.pth,IR_{1px},0.5819172103090533,models/_pretrained_weights/unimatch_weights/gmflow-scale2-things-36579974.pth,GMFlow+ (s2)
KITTI,train,,C+T,gmflow-scale2-things-36579974.pth,IR_{3px},0.7676916613896322,models/_pretrained_weights/unimatch_weights/gmflow-scale2-things-36579974.pth,GMFlow+ (s2)
KITTI,train,,C+T,gmflow-scale2-things-36579974.pth,IR_{5px},0.8182877603534792,models/_pretrained_weights/unimatch_weights/gmflow-scale2-things-36579974.pth,GMFlow+ (s2)
KITTI,train,,C+T,gmflow-scale2-things-36579974.pth,fl-kitti,0.2190271863604333,models/_pretrained_weights/unimatch_weights/gmflow-scale2-things-36579974.pth,GMFlow+ (s2)
KITTI,train,,C+T,gmflow-scale2-things-36579974.pth,MSE,245.28982543945312,models/_pretrained_weights/unimatch_weights/gmflow-scale2-things-36579974.pth,GMFlow+ (s2)
KITTI,train,,C+T,gmflow-scale2-things-36579974.pth,WAUC,0.5904053267382755,models/_pretrained_weights/unimatch_weights/gmflow-scale2-things-36579974.pth,GMFlow+ (s2)
KITTI,train,,mixed,gmflow-scale2-mixdata-train320x576-9ff1c094.pth,EPE,2.414834499359131,models/_pretrained_weights/unimatch_weights/gmflow-scale2-mixdata-train320x576-9ff1c094.pth,GMFlow+ (s2)
KITTI,train,,mixed,gmflow-scale2-mixdata-train320x576-9ff1c094.pth,IR_{1px},0.6959206836471874,models/_pretrained_weights/unimatch_weights/gmflow-scale2-mixdata-train320x576-9ff1c094.pth,GMFlow+ (s2)
KITTI,train,,mixed,gmflow-scale2-mixdata-train320x576-9ff1c094.pth,IR_{3px},0.8723967143565219,models/_pretrained_weights/unimatch_weights/gmflow-scale2-mixdata-train320x576-9ff1c094.pth,GMFlow+ (s2)
KITTI,train,,mixed,gmflow-scale2-mixdata-train320x576-9ff1c094.pth,IR_{5px},0.9147881329360812,models/_pretrained_weights/unimatch_weights/gmflow-scale2-mixdata-train320x576-9ff1c094.pth,GMFlow+ (s2)
KITTI,train,,mixed,gmflow-scale2-mixdata-train320x576-9ff1c094.pth,fl-kitti,0.1006827686212107,models/_pretrained_weights/unimatch_weights/gmflow-scale2-mixdata-train320x576-9ff1c094.pth,GMFlow+ (s2)
KITTI,train,,mixed,gmflow-scale2-mixdata-train320x576-9ff1c094.pth,MSE,42.03613662719727,models/_pretrained_weights/unimatch_weights/gmflow-scale2-mixdata-train320x576-9ff1c094.pth,GMFlow+ (s2)
KITTI,train,,mixed,gmflow-scale2-mixdata-train320x576-9ff1c094.pth,WAUC,0.6863943067738298,models/_pretrained_weights/unimatch_weights/gmflow-scale2-mixdata-train320x576-9ff1c094.pth,GMFlow+ (s2)
KITTI,train,,S,gmflow-scale2-sintel-3ed1cf48.pth,EPE,2.0003833770751958,models/_pretrained_weights/unimatch_weights/gmflow-scale2-sintel-3ed1cf48.pth,GMFlow+ (s2)
KITTI,train,,S,gmflow-scale2-sintel-3ed1cf48.pth,IR_{1px},0.7429567333204388,models/_pretrained_weights/unimatch_weights/gmflow-scale2-sintel-3ed1cf48.pth,GMFlow+ (s2)
KITTI,train,,S,gmflow-scale2-sintel-3ed1cf48.pth,IR_{3px},0.8959183258532984,models/_pretrained_weights/unimatch_weights/gmflow-scale2-sintel-3ed1cf48.pth,GMFlow+ (s2)
KITTI,train,,S,gmflow-scale2-sintel-3ed1cf48.pth,IR_{5px},0.9303812786371752,models/_pretrained_weights/unimatch_weights/gmflow-scale2-sintel-3ed1cf48.pth,GMFlow+ (s2)
KITTI,train,,S,gmflow-scale2-sintel-3ed1cf48.pth,fl-kitti,0.0785576418102928,models/_pretrained_weights/unimatch_weights/gmflow-scale2-sintel-3ed1cf48.pth,GMFlow+ (s2)
KITTI,train,,S,gmflow-scale2-sintel-3ed1cf48.pth,MSE,33.29491424560547,models/_pretrained_weights/unimatch_weights/gmflow-scale2-sintel-3ed1cf48.pth,GMFlow+ (s2)
KITTI,train,,S,gmflow-scale2-sintel-3ed1cf48.pth,WAUC,0.7265473720918496,models/_pretrained_weights/unimatch_weights/gmflow-scale2-sintel-3ed1cf48.pth,GMFlow+ (s2)
KITTI,train,,S,pwc_net.pth.tar,EPE,4.4316911697387695,models/_pretrained_weights/pwc_net.pth.tar,PWCNet
KITTI,train,,S,pwc_net.pth.tar,IR_{1px},0.260172797959138,models/_pretrained_weights/pwc_net.pth.tar,PWCNet
KITTI,train,,S,pwc_net.pth.tar,IR_{3px},0.8205178608249478,models/_pretrained_weights/pwc_net.pth.tar,PWCNet
KITTI,train,,S,pwc_net.pth.tar,IR_{5px},0.8930113484067955,models/_pretrained_weights/pwc_net.pth.tar,PWCNet
KITTI,train,,S,pwc_net.pth.tar,fl-kitti,0.1422807868277785,models/_pretrained_weights/pwc_net.pth.tar,PWCNet
KITTI,train,,S,pwc_net.pth.tar,MSE,136.31365966796875,models/_pretrained_weights/pwc_net.pth.tar,PWCNet
KITTI,train,,S,pwc_net.pth.tar,WAUC,0.4544638137656506,models/_pretrained_weights/pwc_net.pth.tar,PWCNet
KITTI,train,,C+T,pwc_net_chairs.pth.tar,EPE,13.170945167541504,models/_pretrained_weights/pwc_net_chairs.pth.tar,PWCNet
KITTI,train,,C+T,pwc_net_chairs.pth.tar,IR_{1px},0.2271696447709388,models/_pretrained_weights/pwc_net_chairs.pth.tar,PWCNet
KITTI,train,,C+T,pwc_net_chairs.pth.tar,IR_{3px},0.5893897598778872,models/_pretrained_weights/pwc_net_chairs.pth.tar,PWCNet
KITTI,train,,C+T,pwc_net_chairs.pth.tar,IR_{5px},0.6797248343074043,models/_pretrained_weights/pwc_net_chairs.pth.tar,PWCNet
KITTI,train,,C+T,pwc_net_chairs.pth.tar,fl-kitti,0.4038081595908083,models/_pretrained_weights/pwc_net_chairs.pth.tar,PWCNet
KITTI,train,,C+T,pwc_net_chairs.pth.tar,MSE,528.3101806640625,models/_pretrained_weights/pwc_net_chairs.pth.tar,PWCNet
KITTI,train,,C+T,pwc_net_chairs.pth.tar,WAUC,0.3429981352884999,models/_pretrained_weights/pwc_net_chairs.pth.tar,PWCNet
KITTI,train,,C+T,_things_phase1_100000.pth,EPE,4.527623176574707,models/_pretrained_weights/ms_raft_plus/_things_phase1_100000.pth,MS-RAFT+
KITTI,train,,C+T,_things_phase1_100000.pth,IR_{1px},0.7305754131222703,models/_pretrained_weights/ms_raft_plus/_things_phase1_100000.pth,MS-RAFT+
KITTI,train,,C+T,_things_phase1_100000.pth,IR_{3px},0.8478888110230863,models/_pretrained_weights/ms_raft_plus/_things_phase1_100000.pth,MS-RAFT+
KITTI,train,,C+T,_things_phase1_100000.pth,IR_{5px},0.8810759137088624,models/_pretrained_weights/ms_raft_plus/_things_phase1_100000.pth,MS-RAFT+
KITTI,train,,C+T,_things_phase1_100000.pth,fl-kitti,0.1350470200921064,models/_pretrained_weights/ms_raft_plus/_things_phase1_100000.pth,MS-RAFT+
KITTI,train,,C+T,_things_phase1_100000.pth,MSE,173.67941284179688,models/_pretrained_weights/ms_raft_plus/_things_phase1_100000.pth,MS-RAFT+
KITTI,train,,C+T,_things_phase1_100000.pth,WAUC,0.715016827540255,models/_pretrained_weights/ms_raft_plus/_things_phase1_100000.pth,MS-RAFT+
KITTI,train,,mixed,mixed.pth,EPE,0.6978750824928284,models/_pretrained_weights/ms_raft_plus/mixed.pth,MS-RAFT+
KITTI,train,,mixed,mixed.pth,IR_{1px},0.8762154359228705,models/_pretrained_weights/ms_raft_plus/mixed.pth,MS-RAFT+
KITTI,train,,mixed,mixed.pth,IR_{3px},0.9640296110727744,models/_pretrained_weights/ms_raft_plus/mixed.pth,MS-RAFT+
KITTI,train,,mixed,mixed.pth,IR_{5px},0.980698300331696,models/_pretrained_weights/ms_raft_plus/mixed.pth,MS-RAFT+
KITTI,train,,mixed,mixed.pth,fl-kitti,0.0176042661954619,models/_pretrained_weights/ms_raft_plus/mixed.pth,MS-RAFT+
KITTI,train,,mixed,mixed.pth,MSE,8.577564239501953,models/_pretrained_weights/ms_raft_plus/mixed.pth,MS-RAFT+
KITTI,train,,mixed,mixed.pth,WAUC,0.8503555175848598,models/_pretrained_weights/ms_raft_plus/mixed.pth,MS-RAFT+
KITTI,train,,C+T,FlowNet2-C_checkpoint.pth.tar,EPE,12.094995498657228,models/_pretrained_weights/FlowNet/FlowNet2-C_checkpoint.pth.tar,FlowNet2C
KITTI,train,,C+T,FlowNet2-C_checkpoint.pth.tar,IR_{1px},0.2738122968989133,models/_pretrained_weights/FlowNet/FlowNet2-C_checkpoint.pth.tar,FlowNet2C
KITTI,train,,C+T,FlowNet2-C_checkpoint.pth.tar,IR_{3px},0.5417167753806661,models/_pretrained_weights/FlowNet/FlowNet2-C_checkpoint.pth.tar,FlowNet2C
KITTI,train,,C+T,FlowNet2-C_checkpoint.pth.tar,IR_{5px},0.6422142081465394,models/_pretrained_weights/FlowNet/FlowNet2-C_checkpoint.pth.tar,FlowNet2C
KITTI,train,,C+T,FlowNet2-C_checkpoint.pth.tar,fl-kitti,0.4528176325330409,models/_pretrained_weights/FlowNet/FlowNet2-C_checkpoint.pth.tar,FlowNet2C
KITTI,train,,C+T,FlowNet2-C_checkpoint.pth.tar,MSE,404.2962646484375,models/_pretrained_weights/FlowNet/FlowNet2-C_checkpoint.pth.tar,FlowNet2C
KITTI,train,,C+T,FlowNet2-C_checkpoint.pth.tar,WAUC,0.3447540619863806,models/_pretrained_weights/FlowNet/FlowNet2-C_checkpoint.pth.tar,FlowNet2C
KITTI,train,,C+T,raft-things.pth,EPE,5.448503494262695,models/_pretrained_weights/raft-things.pth,RAFT
KITTI,train,,C+T,raft-things.pth,IR_{1px},0.6313859536908978,models/_pretrained_weights/raft-things.pth,RAFT
KITTI,train,,C+T,raft-things.pth,IR_{3px},0.8059694814503385,models/_pretrained_weights/raft-things.pth,RAFT
KITTI,train,,C+T,raft-things.pth,IR_{5px},0.8505398836767537,models/_pretrained_weights/raft-things.pth,RAFT
KITTI,train,,C+T,raft-things.pth,fl-kitti,0.1785682365305101,models/_pretrained_weights/raft-things.pth,RAFT
KITTI,train,,C+T,raft-things.pth,MSE,193.81375122070312,models/_pretrained_weights/raft-things.pth,RAFT
KITTI,train,,C+T,raft-things.pth,WAUC,0.6329593608366069,models/_pretrained_weights/raft-things.pth,RAFT
